var_name,value,margin
PY→VAgmt,0.990748592235129,-0.0
PY→VAwtt,0.988553332895162,0.0
PY→VAwpd,0.988642276367994,0.0
PY→VAwht,0.988398873541809,-0.0
PY→VAwrh,0.990682182093366,-0.0
PY→VAott,0.989042855423263,-0.0
PY→VAche,0.986386486507696,0.0
PY→VAair,0.987908036914687,0.0
PY→VAmmf,0.988654266261639,0.0
PY→VAotr,0.98983083069707,-0.0
PY→VAmin,0.986730177498997,0.0
PA→dmppd,0.959090938882612,0.0
PA→dmres,0.968514036347277,0.0
PA→dmcom,0.981488413821301,-0.0
PA→dmamb,0.977572044509168,-0.0
PA→dmfbp,0.956006839306824,0.0
PA→dmrec,0.96942079430866,-0.0
PA→dmcon,0.963061550072995,0.0
PA→dmagr,0.95976672643431,-0.0
PA→dmeec,0.961230732462021,0.0
PA→dmfnd,0.980078178617847,0.0
PA→dmpub,0.979774888879768,-0.0
PA→dmhou,0.982125982590705,-0.0
