yr,i,j,value,
2009,amd,ppd,0.1027131303530940,
2005,amd,ppd,0.1908679165529210,
2006,amd,ppd,0.1856340060999410,
2012,amd,ppd,0.1602136519543550,
2014,amd,ppd,0.1708571248772330,
2013,amd,ppd,0.1594207999185860,
1999,amd,ppd,0.2247791087438700,
2002,amd,ppd,0.2260211053740050,
2017,amd,ppd,0.1455623569303230,
2016,amd,ppd,0.1667894848077270,
2015,amd,ppd,0.1509874930118200,
1998,amd,ppd,0.2449211615932140,
2004,amd,ppd,0.1696062906050930,
2000,amd,ppd,0.2515739535847890,
1997,amd,ppd,0.2289723153396350,
2007,amd,ppd,0.1655765741726120,
2010,amd,ppd,0.1084361274201790,
2003,amd,ppd,0.2082055002039680,
2011,amd,ppd,0.0897315960131768,
2001,amd,ppd,0.2245589603164650,
2008,oil,ppd,0.0182914584428926,
2009,oil,ppd,0.0061233594783132,
2005,oil,ppd,0.0132041608670894,
2006,oil,ppd,0.0131978683783130,
2012,oil,ppd,0.0020299042548549,
2014,oil,ppd,#N/A,
2013,oil,ppd,0.0010133848961551,
1999,oil,ppd,0.0020664845652526,
2002,oil,ppd,0.0040670477457686,
2017,oil,ppd,#N/A,
2016,oil,ppd,#N/A,
2015,oil,ppd,#N/A,
1998,oil,ppd,0.0041427295909913,
2004,oil,ppd,0.0092110229035760,
2000,oil,ppd,0.0020486894426106,
1997,oil,ppd,0.0041349809709392,
2007,oil,ppd,0.0142291250026989,
2010,oil,ppd,0.0040468463940763,
2003,oil,ppd,0.0092166424617592,
2011,oil,ppd,0.0030430354877661,
2001,oil,ppd,0.0020550857314864,
2008,hos,ppd,#N/A,
2009,hos,ppd,#N/A,
2005,hos,ppd,#N/A,
2006,hos,ppd,#N/A,
2012,hos,ppd,#N/A,
2014,hos,ppd,#N/A,
2013,hos,ppd,#N/A,
1999,hos,ppd,#N/A,
2002,hos,ppd,#N/A,
2017,hos,ppd,#N/A,
2016,hos,ppd,#N/A,
2015,hos,ppd,#N/A,
1998,hos,ppd,#N/A,
2004,hos,ppd,#N/A,
2000,hos,ppd,#N/A,
1997,hos,ppd,#N/A,
2007,hos,ppd,#N/A,
2010,hos,ppd,#N/A,
2003,hos,ppd,#N/A,
2011,hos,ppd,#N/A,
2001,hos,ppd,#N/A,
2008,rnt,ppd,1.0640360307433200,
2009,rnt,ppd,0.9221944511674560,
2005,rnt,ppd,1.0866337052594400,
2006,rnt,ppd,1.1053991445050000,
2012,rnt,ppd,0.9955797459456820,
2014,rnt,ppd,1.0505772834330800,
2013,rnt,ppd,1.0404317877256900,
1999,rnt,ppd,0.8660344777406810,
2002,rnt,ppd,1.2462908496277100,
2017,rnt,ppd,0.8198724491943210,
2016,rnt,ppd,0.9080804050940740,
2015,rnt,ppd,0.8904695546555080,
1998,rnt,ppd,1.0960136204307100,
2004,rnt,ppd,0.9649589127966790,
2000,rnt,ppd,1.0224167043071900,
1997,rnt,ppd,1.0029359565295900,
2007,rnt,ppd,1.0864031170352200,
2010,rnt,ppd,0.9338708005775900,
2003,rnt,ppd,1.2178539781648600,
2011,rnt,ppd,0.8165345199742230,
2001,rnt,ppd,1.1573507536742400,
2008,pla,ppd,3.3780041227404200,
2009,pla,ppd,2.6994829061819600,
2005,pla,ppd,2.4782214018962500,
2006,pla,ppd,2.5549315567817200,
2012,pla,ppd,4.1237351006628900,
2014,pla,ppd,3.8609465136481700,
2013,pla,ppd,3.8938578306277200,
1999,pla,ppd,2.0053024454686100,
2002,pla,ppd,2.2998792159709100,
2017,pla,ppd,3.5644919169201800,
2016,pla,ppd,3.9080936021559700,
2015,pla,ppd,3.9004305324320300,
1998,pla,ppd,2.0744964415073100,
2004,pla,ppd,2.2412076448657500,
2000,pla,ppd,1.9945621380155400,
1997,pla,ppd,2.0146751129822900,
2007,pla,ppd,3.1299742544503000,
2010,pla,ppd,3.1458408705085700,
2003,pla,ppd,2.2287350055415900,
2011,pla,ppd,3.4671192488701300,
2001,pla,ppd,1.9794354359898300,
2008,fof,ppd,4.2277318034423700,
2009,fof,ppd,4.1127197308676300,
2005,fof,ppd,4.8376215859933600,
2006,fof,ppd,4.7683712328410500,
2012,fof,ppd,5.1058214089736300,
2014,fof,ppd,6.0908012892188800,
2013,fof,ppd,5.2093233353034800,
1999,fof,ppd,4.4764158948674300,
2002,fof,ppd,4.2463319258312100,
2017,fof,ppd,7.2383085463363500,
2016,fof,ppd,6.1362661082724900,
2015,fof,ppd,6.0959978765326000,
1998,fof,ppd,4.1018963882026400,
2004,fof,ppd,4.6816157567729100,
2000,fof,ppd,4.1782706989627600,
1997,fof,ppd,4.0680172594284900,
2007,fof,ppd,4.4015579776444000,
2010,fof,ppd,5.5340693788511900,
2003,fof,ppd,4.1040895546578400,
2011,fof,ppd,6.6108675247170400,
2001,fof,ppd,4.1935760613641500,
2008,fin,ppd,#N/A,
2009,fin,ppd,#N/A,
2005,fin,ppd,#N/A,
2006,fin,ppd,#N/A,
2012,fin,ppd,#N/A,
2014,fin,ppd,#N/A,
2013,fin,ppd,#N/A,
1999,fin,ppd,#N/A,
2002,fin,ppd,#N/A,
2017,fin,ppd,#N/A,
2016,fin,ppd,#N/A,
2015,fin,ppd,#N/A,
1998,fin,ppd,#N/A,
2004,fin,ppd,#N/A,
2000,fin,ppd,#N/A,
1997,fin,ppd,#N/A,
2007,fin,ppd,#N/A,
2010,fin,ppd,#N/A,
2003,fin,ppd,#N/A,
2011,fin,ppd,#N/A,
2001,fin,ppd,#N/A,
2008,tsv,ppd,2.1989061072264400,
2009,tsv,ppd,1.7474883800302900,
2005,tsv,ppd,2.2368807796279200,
2006,tsv,ppd,2.3997318087606400,
